pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year,habitable_candidate
HD 3167 b,0.01796,1.67,0.0,1650.0,5261.0,0.88,0.837,,47.2899,1,4,2016,0
TIC 139270665 b,0.163,7.22979255,0.105,40.3,5844.0,1.016,1.035,0.03222,189.875,1,2,2024,0
TOI-4087 b,0.04469,13.04725353,0.0,753.9,6060.0,1.112,1.178,0.17609,301.676,1,1,2023,0
Kepler-323 c,0.0458,1.57,0.095,700.0,6004.0,1.12,1.015,,454.883,1,2,2014,0
WASP-2 b,0.03144,12.116929,,492.0,5180.0,0.866,0.895,-0.31336,153.242,2,1,2007,0
KELT-20 b,0.0542,19.514869,,4362.5,8720.0,1.565,1.76,1.1038,136.426,1,1,2017,0
Kepler-784 c,0.1309,1.55,0.0,119.87,5676.0,1.487,1.016,,1303.72,1,2,2023,0
WASP-197 b,0.065,14.44837612,0.0,1276.0,6050.0,2.112,1.36,,483.675,1,1,2025,0
WASP-170 b,0.0337,12.285064,,680.0,5600.0,0.938,0.93,-0.11351,305.603,1,1,2018,0
K2-266 c,0.0679,0.705,0.042,32.4,4285.0,0.703,0.686,-0.82333,77.5586,2,4,2018,0
K2-72 c,0.078,1.16,0.11,2.2,3360.47,0.330989,0.271365,,66.4321,1,4,2016,0
K2-413 b,0.0117,0.7599,,921.755,4116.0,0.7,0.808,,285.162,1,2,2022,0
Kepler-138 c,0.0913,1.51,0.017,6.8,3841.0,0.535,0.535,-1.25181,66.8624,1,4,2014,0
EPIC 249893012 b,0.047,1.95,0.06,1037.0,5430.0,1.71,1.05,,321.296,1,3,2020,0
K2-68 b,0.0708,1.58,,41.0,4746.0,0.675,0.73,,168.652,1,1,2016,0
Kepler-1921 c,0.0454,1.41,0.0,2436.47,6120.0,2.0,1.251,,928.989,1,2,2023,0
HD 191939 b,0.0804,3.41,0.031,100.0,5348.0,0.94,0.81,-0.18709,53.6089,1,6,2020,0
Kepler-26 c,,2.72,,4.82,3914.0,0.512,0.544,,335.307,1,4,2011,0
TRAPPIST-1 b,0.01154,1.116,,4.153,2566.0,0.1192,0.0898,-3.25727,,1,7,2016,0
TRAPPIST-1 d,0.02227,0.788,,1.115,2566.0,0.1192,0.0898,-3.25727,,1,7,2016,0
TRAPPIST-1 f,0.03849,1.045,,0.373,2566.0,0.1192,0.0898,-3.25727,,1,7,2017,0
TRAPPIST-1 g,0.04683,1.129,,0.252,2566.0,0.1192,0.0898,-3.25727,,1,7,2017,0
Kepler-102 f,0.1656,0.861,0.1,10.0,4909.0,0.724,0.803,,107.796,1,5,2014,0
Kepler-58 e,0.0533,1.61,0.0,511.6,6100.0,1.083,1.017,,969.252,1,4,2023,0
L 98-59 b,0.0223,0.837,0.031,24.5,3415.0,0.3155,0.2923,-1.91364,10.6194,1,5,2019,0
Kepler-138 b,0.0753,0.64,0.02,9.9,3841.0,0.535,0.535,-1.25181,66.8624,1,4,2014,0
Kepler-725 b,0.2238,10.8,0.231,12.1,5395.0,0.88,0.95,,758.469,1,2,2016,0
TOI-4638.01,0.093013,2.933,,87.81,5700.0,0.895,1.02,,168.248,1,1,2024,0
Kepler-1998 b,0.0405,0.6,0.0,468.31,5640.0,0.921,0.962,,340.965,1,1,2023,0
Kepler-2000 b,0.0562,2.73,0.0,18.73,3757.0,0.576,0.581,,320.588,1,2,2023,0
HAT-P-32 b,0.03397,22.19382,0.159,1841.0,6001.0,1.367,1.132,0.33806,289.205,2,1,2011,0
LHS 1678 c,0.0327,0.941,0.039,13.5,3490.0,0.329,0.345,-1.83863,19.8782,2,3,2021,0
Kepler-1985 b,0.0426,2.27,0.0,382.68,5370.0,0.966,0.877,,,1,1,2023,0
TOI-1744.01,0.164086,2.68,,63.31,6179.0,1.14,1.18,,114.39,1,1,2024,0
Kepler-186 f,0.432,1.17,0.04,0.3,3755.0,0.523,0.544,-1.26,177.594,1,5,2014,0
K2-415 b,0.027,1.015,,4.82,3173.0,0.1965,0.1635,-2.45469,21.8182,1,1,2023,0
Kepler-307 c,,2.2,,44.0,5367.0,0.814,0.907,,575.581,1,2,2013,0
L 98-59 c,0.0309,1.329,0.002,12.7,3415.0,0.3155,0.2923,-1.91364,10.6194,1,5,2019,0
Kepler-164 e,0.4025,4.24,0.0,7.99,5888.0,1.097,0.966,,890.758,1,4,2023,0
TOI-5386 A b,0.04856,14.70618268,0.072,817.0,6094.0,1.245,1.165,0.28488,394.486,2,1,2025,0
Kepler-36 c,,3.679,0.0,191.0,5979.0,1.634,1.034,,527.956,1,2,2012,0
GJ 1214 b,0.01505,2.733,0.0062,17.2,3101.0,0.2162,0.182,-2.40894,14.6427,1,1,2009,0
TOI-6002 b,0.05722,1.65,0.15,1.6823,3229.0,0.2432,0.2101,-2.23508,32.0266,1,1,2024,1
K2-65 b,0.1014,1.58,,45.0,5213.0,0.84,0.87,,,1,1,2016,0
Kepler-26 b,,2.78,,7.6,3914.0,0.512,0.544,,335.307,1,4,2011,0
K2-411 b,0.0511,0.9898,,619.038,5711.0,1.375,1.018,,298.219,1,1,2022,0
HD 135694 b,0.124695,2.857,,71.8,5712.0,1.08,1.02,,73.8713,1,1,2023,0
K2-21 c,0.107,2.49,0.21,5.1,4222.06,0.646783,0.676023,,83.6448,1,2,2015,0
Kepler-19 b,0.0846,2.209,0.41,87.6,5541.0,0.859,0.936,,218.562,1,3,2011,0
TOI-169 b,0.03524,12.172974,0.0,1443.0,5880.0,1.288,1.147,0.25261,407.84,1,1,2020,0
Wolf 327 b,0.01,1.24,0.0,233.9,3542.0,0.406,0.405,-1.62986,28.5321,1,1,2024,0
HATS-65 b,0.04497,16.824709,0.062,1178.0,6277.0,1.31,1.257,0.37658,493.32,2,1,2018,0
K2-131 b,0.00936,1.69,0.0,4070.0,5120.0,0.7595,0.803,,152.509,1,1,2017,0
TOI-5720 b,0.018288,1.09,,41.7,3325.0,0.383,0.383,-1.79183,35.8256,1,1,2024,0
TOI-1452 b,0.061,1.672,0.0,1.8,3185.0,0.275,0.249,-2.1549,30.5212,2,1,2022,0
K2-3 b,0.0747,2.078,0.107,10.5,3844.0,0.546,0.549,-1.23136,44.0727,1,3,2015,0
HD 207496 b,0.0629,2.25,0.231,72.9,4819.0,0.769,0.8,,23.606,1,1,2023,0
WASP-45 b,0.03963,10.603714,,294.0,5150.0,0.855,0.85,-0.33555,211.196,2,1,2011,0
TOI-1789 b,0.04882,16.14093221,,2300.0,5991.0,2.168,1.507,0.7364,229.067,1,1,2021,0
EPIC 249893012 c,0.13,3.67,0.07,160.0,5430.0,1.71,1.05,,321.296,1,3,2020,0
TOI-2193 A b,0.03319,19.83989584,0.0,1600.0,5966.0,1.248,1.082,0.25018,337.064,2,1,2022,0
GJ 367 b,0.00709,0.699,0.06,579.0,3522.0,0.458,0.455,-1.5391,9.41263,1,3,2021,0
Kepler-438 b,0.166,1.12,0.03,1.4,3748.0,0.52,0.544,-1.357,,1,1,2015,1
TOI-2096 b,0.025,1.243,0.15,9.4,3300.0,0.235,0.231,-2.22768,48.4809,1,2,2023,0
TOI-1899 b,0.1525,11.09689089,0.044,3.4,3926.0,0.607,0.632,,128.438,1,1,2020,0
TOI-4137 b,0.05222,13.57407563,0.0,1013.0,6202.0,1.438,1.313,0.43933,334.993,1,1,2022,0
Kepler-1859 c,0.0473,1.66,0.0,732.82,5887.0,1.235,1.09,,1331.25,1,2,2023,0
Kepler-1610 c,0.2323,2.09,0.0,8.34,5295.0,0.8,0.825,,864.331,1,2,2023,0
TOI-3976 A b,0.0743,12.27383387,0.0,469.0,5975.0,1.501,1.254,0.41296,516.087,2,1,2023,0
KOI-4777.01,0.008,0.51,0.0,320.0,3515.0,0.4,0.41,,172.245,1,1,2022,0
