pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
HD 70642 b,3.318,,0.175,,5732.0,0.984,1.078,,29.276,1,1,2003
Kepler-61 b,,2.15,0.25,,4017.0,0.62,0.635,,335.079,1,1,2013
GJ 3634 b,0.0287,,0.08,,,0.43,0.45,-1.699,20.3779,1,1,2010
HD 222582 b,1.34,,0.73,,5790.0,1.13,1.12,,42.1586,2,1,1999
Kepler-751 b,,2.46,,,5387.0,0.84,0.87,,760.43,1,1,2016
HD 134060 b,0.0444,,0.45,,5966.0,,1.095,0.15836,24.0125,1,2,2019
Kepler-1745 b,,1.92872921,,,5611.0,1.4,0.995,,996.105,1,1,2021
HD 134606 d,1.941,,0.092,,5576.0,1.158,1.046,0.06483,26.7909,1,5,2024
HD 43691 b,0.238,,0.0796,,6093.0,1.6,1.32,0.5,85.6009,3,1,2007
HD 175167 b,,,0.51,,,,1.09,,71.0863,1,1,2009
HD 176986 b,0.06296,,0.066,83.5,4931.0,0.782,0.789,-0.48017,27.7843,1,2,2017
K2-85 b,,1.2,,,4427.0,0.68,,,97.2179,1,1,2016
KOI-2513.01,0.5,2.80224517,0.36,,5900.0,1.2,0.91,,1369.87,1,1,2023
Kepler-175 c,0.213,3.1,,,6064.0,1.01,,,1312.34,1,2,2014
HD 11964 b,3.16,,0.041,,5303.0,2.00971,0.91,0.45905,33.5369,2,2,2005
Qatar-10 b,0.0286,17.295487,0.0,,6124.0,1.254,1.156,0.29951,559.068,1,1,2019
Kepler-196 d,,2.66065673,,,5132.0,0.77,0.805,,451.312,1,3,2021
K2-381 c,,2.0,,,4473.0,0.675,0.754,,145.701,1,3,2022
OGLE-2019-BLG-0468L b,3.29,,,,,,0.92,,4400.0,1,2,2022
Kepler-400 b,0.087,1.65,,,5886.0,1.145,,,845.97,1,2,2014
HD 285507 b,0.06,,0.09,,4503.0,0.69,0.82,,45.0293,1,1,2013
Kepler-1087 b,,0.61,,,5589.0,0.94,0.96,,362.623,1,1,2016
Kepler-1836 b,,2.55303229,,,6123.0,0.987,1.053,,1472.62,1,1,2021
Kepler-549 c,,2.93,,,5360.0,0.84,0.88,,635.145,1,3,2016
WASP-77 A b,0.023233633,,0.01353,,5617.0,0.91,0.903,-0.12901,105.166,2,1,2012
HD 40307 c,0.0799,,0.06,,4956.0,,0.77,-0.639,12.9363,1,5,2009
Kepler-302 c,0.503,12.45,,,5740.0,1.22,,,1402.58,1,2,2014
Kepler-1729 b,,3.89404186,,,3837.0,0.517,0.544,,576.181,1,1,2021
Kepler-42 b,0.0116,0.78,,,3068.0,0.17,0.13,-2.62,40.0595,1,3,2011
Kepler-1050 b,,1.6,,,6010.0,1.13,1.09,,490.488,1,2,2016
KMT-2022-BLG-1013L b,1.38,,,,,,0.18,,7710.0,1,1,2023
HD 95089 c,3.33,,0.284,,4918.0,5.08,1.54,,136.957,1,2,2018
Kepler-1166 b,,1.69,,,5446.0,0.86,0.9,,634.906,1,1,2016
Kepler-976 b,,3.96,,,5232.0,0.83,0.87,,1012.41,1,1,2016
K2-121 b,0.0629,7.52,,,4690.0,0.67,0.69,,169.398,1,1,2017
HD 175607 b,,,0.11,,5392.0,0.7,0.71,,40.3303,1,1,2015
HD 109749 b,0.0615,,0.0,,5824.0,1.22,1.13,0.19,63.0821,2,1,2005
WASP-20 b,0.06,16.388,0.0,,5940.0,1.392,1.2,,211.877,2,1,2015
HD 39194 d,0.185,,0.333,,5205.0,,0.67,-0.40894,26.4131,1,3,2021
HD 3167 b,0.01796,1.67,0.0,1650.0,5261.0,0.88,0.837,,47.2899,1,4,2016
Kepler-157 c,0.11,2.24,,,5774.0,1.044,,,773.713,1,3,2014
MOA-2008-BLG-379L b,2.7,,,,,,0.56,,3300.0,1,1,2013
HATS-52 b,0.02498,15.490838,0.246,,6010.0,1.046,1.111,0.06819,555.134,1,1,2017
HD 204313 b,3.185,,0.1,,,,1.03,,47.7945,1,3,2010
Kepler-844 b,,1.68,,,4128.0,0.57,0.59,,431.776,1,1,2016
