pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
Kepler-186 f,0.356,1.19,0.02,0.32,3755,0.47,0.54,0.05,151,1,5,2014
Kepler-442 b,0.409,1.34,0.04,0.7,4402,0.6,0.61,0.12,365,1,2,2015
Kepler-62 f,0.718,1.41,0.03,0.41,4925,0.64,0.69,0.21,368,1,5,2013
Kepler-452 b,1.046,1.63,0.06,1.1,5757,1.11,1.04,1.2,538,1,1,2015
Kepler-10 c,0.241,2.35,0.15,4.5,5708,1.07,0.91,1.06,173,1,2,2011
TOI-700 d,0.163,1.14,0.02,0.9,3480,0.42,0.42,0.04,31,1,4,2020
HD 209458 b,0.047,13.5,0.01,2000,6065,1.16,1.13,1.6,47,1,1,1999
Proxima Centauri b,0.049,1.1,0.0,0.65,3042,0.15,0.12,0.0017,1.3,1,1,2016
Kepler-22 b,0.85,2.4,0.02,1.2,5518,0.98,0.97,0.79,195,1,1,2011
Kepler-438 b,0.166,1.12,0.1,1.4,3748,0.52,0.54,0.06,145,1,1,2015
