player,position,team,season,games,passing_yards,rushing_attempts,rushing_yards,receptions,receiving_yards,tackles,pro_bowl,total_yards,workload,efficiency_run,efficiency_rec,is_offense
Jayden Daniels,QB,WAS,2024,17,3568,148,891,0,0,0,1,4459,148,6.02027027027027,0.0,1
Bo Nix,QB,DEN,2024,17,3775,92,430,1,2,0,1,4207,93,4.673913043478261,2.0,1
Caleb Williams,QB,CHI,2024,17,3541,81,489,0,0,0,1,4030,81,6.037037037037037,0.0,1
Bucky Irving,RB,TB,2024,17,0,207,1122,47,392,0,1,1514,254,5.420289855072464,8.340425531914894,1
Brian Thomas Jr.,WR,JAX,2024,17,0,6,48,87,1282,0,1,1330,93,8.0,14.735632183908047,1
Brock Bowers,TE,LV,2024,17,0,5,13,112,1194,0,1,1207,117,2.6,10.660714285714286,1
Drake Maye,QB,NE,2024,13,2276,54,421,0,0,0,0,2697,54,7.796296296296297,0.0,1
Tyrone Tracy Jr.,RB,NYG,2024,17,0,192,839,38,284,0,1,1123,230,4.369791666666667,7.473684210526316,1
Ladd McConkey,WR,LAC,2024,16,0,0,0,82,1149,0,1,1149,82,0.0,14.012195121951219,1
Malik Nabers,WR,NYG,2024,15,0,5,2,109,1204,0,1,1206,114,0.4,11.045871559633028,1
Marvin Harrison Jr.,WR,ARI,2024,17,0,0,0,62,885,0,1,885,62,0.0,14.274193548387096,1
Rome Odunze,WR,CHI,2024,17,0,3,15,54,734,0,1,749,57,5.0,13.592592592592593,1
Xavier Worthy,WR,KC,2024,16,0,20,104,59,638,0,1,742,79,5.2,10.813559322033898,1
Ray Davis,RB,BUF,2024,16,0,113,442,17,189,0,0,631,130,3.911504424778761,11.117647058823529,1
Braelon Allen,RB,NYJ,2024,17,0,92,334,19,148,0,0,482,111,3.630434782608696,7.7894736842105265,1
Adonai Mitchell,WR,IND,2024,17,24,4,6,23,312,0,0,342,27,1.5,13.565217391304348,1
Xavier Legette,WR,CAR,2024,15,0,6,24,49,497,0,0,521,55,4.0,10.142857142857142,1
Isaac Guerendo,RB,SF,2024,13,0,84,420,15,152,0,0,572,99,5.0,10.133333333333333,1
Troy Franklin,WR,DEN,2024,16,0,2,8,28,263,0,0,271,30,4.0,9.392857142857142,1
Keon Coleman,WR,BUF,2024,13,0,1,9,29,556,0,0,565,30,9.0,19.17241379310345,1
Ja'Tavion Sanders,TE,CAR,2024,15,0,0,0,33,342,0,0,342,33,0.0,10.363636363636363,1
Jalen McMillan,WR,TB,2024,13,0,4,43,37,461,0,1,504,41,10.75,12.45945945945946,1
Devaughn Vele,WR,DEN,2024,13,0,0,0,41,475,0,0,475,41,0.0,11.585365853658537,1
Blake Corum,RB,LA,2024,14,0,58,207,7,58,0,0,265,65,3.5689655172413794,8.285714285714286,1
AJ Barner,TE,SEA,2024,14,0,0,0,30,245,0,0,245,30,0.0,8.166666666666666,1
Audric Estimé,RB,DEN,2024,13,0,76,310,5,27,0,0,337,81,4.078947368421052,5.4,1
Jalen Coker,WR,CAR,2024,11,19,0,0,32,478,0,0,497,32,0.0,14.9375,1
Jaylen Wright,RB,MIA,2024,13,0,68,249,3,8,0,0,257,71,3.661764705882353,2.6666666666666665,1
Trey Benson,RB,ARI,2024,12,0,63,291,6,59,0,0,350,69,4.619047619047619,9.833333333333334,1
Spencer Rattler,QB,NO,2024,7,1317,18,146,0,0,0,0,1463,18,8.11111111111111,0.0,1
Malik Washington,WR,MIA,2024,12,0,5,25,26,223,0,0,248,31,5.0,8.576923076923077,1
Ricky Pearsall,WR,SF,2024,10,0,3,45,31,400,0,0,445,34,15.0,12.903225806451612,1
Cade Stover,TE,HOU,2024,13,0,0,0,15,133,0,0,133,15,0.0,8.866666666666667,1
Carson Steele,RB,KC,2024,12,0,56,183,7,26,0,0,209,63,3.267857142857143,3.7142857142857144,1
Ja'Lynn Polk,WR,NE,2024,13,0,1,0,12,87,0,0,87,13,0.0,7.25,1
Luke McCaffrey,WR,WAS,2024,12,0,0,0,18,168,0,0,168,18,0.0,9.333333333333334,1
Theo Johnson,TE,NYG,2024,10,0,0,0,29,331,0,0,331,29,0.0,11.413793103448276,1
Isaiah Davis,RB,NYJ,2024,9,0,30,174,9,75,0,0,249,39,5.8,8.333333333333334,1
Kimani Vidal,RB,LAC,2024,9,0,43,155,5,62,0,0,217,48,3.604651162790698,12.4,1
Mason Tipton,WR,NO,2024,9,0,0,0,14,99,0,0,99,14,0.0,7.071428571428571,1
Erick All,TE,CIN,2024,8,0,0,0,20,158,0,0,158,20,0.0,7.9,1
Johnny Wilson,WR,PHI,2024,9,0,0,0,5,38,0,0,38,5,0.0,7.6,1
Jordan Whittington,WR,LA,2024,6,0,2,12,22,293,0,0,305,24,6.0,13.318181818181818,1
Michael Penix Jr.,QB,ATL,2024,5,775,7,11,0,0,0,0,786,7,1.5714285714285714,0.0,1
Ryan Flournoy,WR,DAL,2024,7,0,0,0,10,102,0,0,102,10,0.0,10.2,1
Brevyn Spann-Ford,TE,DAL,2024,6,0,0,0,9,88,0,0,88,9,0.0,9.777777777777779,1
Jamari Thrash,WR,CLE,2024,6,0,0,0,3,22,0,0,22,3,0.0,7.333333333333333,1
Will Shipley,RB,PHI,2024,5,0,30,82,4,35,0,0,117,34,2.7333333333333334,8.75,1
Bryce Oliver,WR,TEN,2024,5,0,0,0,6,95,0,0,95,6,0.0,15.833333333333334,1
Malachi Corley,WR,NYJ,2024,5,0,2,26,3,16,0,0,42,5,13.0,5.333333333333333,1
Tip Reiman,TE,ARI,2024,5,0,0,0,6,37,0,0,37,6,0.0,6.166666666666667,1
Bub Means,WR,NO,2024,4,0,0,0,9,118,0,0,118,9,0.0,13.11111111111111,1
Jermaine Burton,WR,CIN,2024,4,0,0,0,4,107,0,0,107,4,0.0,26.75,1
Sione Vaki,RB,DET,2024,4,0,6,14,3,37,0,0,51,9,2.3333333333333335,12.333333333333334,1
Rasheen Ali,RB,BAL,2024,4,0,10,31,0,0,0,0,31,10,3.1,0.0,1
Cam Grandy,TE,CIN,2024,4,0,0,0,5,28,0,0,28,5,0.0,5.6,1
Ben Sinnott,TE,WAS,2024,4,0,0,0,5,28,0,0,28,5,0.0,5.6,1
Javon Baker,WR,NE,2024,4,0,0,0,1,12,0,0,12,1,0.0,12.0,1
Jacob Cowing,WR,SF,2024,3,0,1,7,4,80,0,0,87,5,7.0,20.0,1
Ainias Smith,WR,PHI,2024,3,0,2,6,7,41,0,0,47,9,3.0,5.857142857142857,1
Jonathon Brooks,RB,CAR,2024,3,0,9,22,3,23,0,0,45,12,2.4444444444444446,7.666666666666667,1
Jaheim Bell,TE,NE,2024,3,0,0,0,2,20,0,0,20,2,0.0,10.0,1
Kameron Johnson,WR,TB,2024,3,0,2,11,0,0,0,0,11,2,5.5,0.0,1
Devin Culp,TE,TB,2024,2,0,0,0,5,88,0,0,88,5,0.0,17.6,1
Joe Milton III,QB,NE,2024,1,241,10,16,0,0,0,0,257,10,1.6,0.0,1
Terrell Jennings,RB,NE,2024,2,0,13,33,0,0,0,0,33,13,2.5384615384615383,0.0,1
Jase McClellan,RB,ATL,2024,2,0,13,32,0,0,0,0,32,13,2.4615384615384617,0.0,1
Devontez Walker,WR,BAL,2024,2,0,0,0,1,21,0,0,21,1,0.0,21.0,1
Dallin Holker,TE,NO,2024,2,0,0,0,3,21,0,0,21,3,0.0,7.0,1
Casey Washington,WR,ATL,2024,2,0,0,0,1,14,0,0,14,1,0.0,14.0,1
George Holani,RB,SEA,2024,2,0,3,10,1,-1,0,0,9,4,3.3333333333333335,-1.0,1
Chris Collier,RB,LV,2024,2,0,5,12,1,-4,0,0,8,6,2.4,-4.0,1
Ramel Keyton,WR,LV,2024,2,0,0,0,1,7,0,0,7,1,0.0,7.0,1
David Martin-Robinson,TE,TEN,2024,2,0,0,0,1,6,0,0,6,1,0.0,6.0,1
Jha'Quan Jackson,WR,TEN,2024,2,0,1,-5,1,8,0,0,3,2,-5.0,8.0,1
Xavier Weaver,WR,ARI,2024,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1
