player,position,team,season,games,passing_yards,rushing_attempts,rushing_yards,receptions,receiving_yards,tackles,pro_bowl
Jayden Daniels,QB,WAS,2024,17,3568,148,891,0,0,0,1
Bo Nix,QB,DEN,2024,17,3775,92,430,1,2,0,1
Caleb Williams,QB,CHI,2024,17,3541,81,489,0,0,0,1
Bucky Irving,RB,TB,2024,17,0,207,1122,47,392,0,1
Brian Thomas Jr.,WR,JAX,2024,17,0,6,48,87,1282,0,1
Brock Bowers,TE,LV,2024,17,0,5,13,112,1194,0,1
Drake Maye,QB,NE,2024,13,2276,54,421,0,0,0,0
Tyrone Tracy Jr.,RB,NYG,2024,17,0,192,839,38,284,0,1
Ladd McConkey,WR,LAC,2024,16,0,0,0,82,1149,0,1
Malik Nabers,WR,NYG,2024,15,0,5,2,109,1204,0,1
Marvin Harrison Jr.,WR,ARI,2024,17,0,0,0,62,885,0,1
Rome Odunze,WR,CHI,2024,17,0,3,15,54,734,0,1
Xavier Worthy,WR,KC,2024,16,0,20,104,59,638,0,1
Ray Davis,RB,BUF,2024,16,0,113,442,17,189,0,0
Braelon Allen,RB,NYJ,2024,17,0,92,334,19,148,0,0
Adonai Mitchell,WR,IND,2024,17,24,4,6,23,312,0,0
Xavier Legette,WR,CAR,2024,15,0,6,24,49,497,0,0
Isaac Guerendo,RB,SF,2024,13,0,84,420,15,152,0,0
Troy Franklin,WR,DEN,2024,16,0,2,8,28,263,0,0
Keon Coleman,WR,BUF,2024,13,0,1,9,29,556,0,0
Ja'Tavion Sanders,TE,CAR,2024,15,0,0,0,33,342,0,0
Jalen McMillan,WR,TB,2024,13,0,4,43,37,461,0,1
Devaughn Vele,WR,DEN,2024,13,0,0,0,41,475,0,0
Blake Corum,RB,LA,2024,14,0,58,207,7,58,0,0
AJ Barner,TE,SEA,2024,14,0,0,0,30,245,0,0
Audric Estimé,RB,DEN,2024,13,0,76,310,5,27,0,0
Jalen Coker,WR,CAR,2024,11,19,0,0,32,478,0,0
Jaylen Wright,RB,MIA,2024,13,0,68,249,3,8,0,0
Trey Benson,RB,ARI,2024,12,0,63,291,6,59,0,0
Spencer Rattler,QB,NO,2024,7,1317,18,146,0,0,0,0
Malik Washington,WR,MIA,2024,12,0,5,25,26,223,0,0
Ricky Pearsall,WR,SF,2024,10,0,3,45,31,400,0,0
Cade Stover,TE,HOU,2024,13,0,0,0,15,133,0,0
Carson Steele,RB,KC,2024,12,0,56,183,7,26,0,0
Ja'Lynn Polk,WR,NE,2024,13,0,1,0,12,87,0,0
Luke McCaffrey,WR,WAS,2024,12,0,0,0,18,168,0,0
Theo Johnson,TE,NYG,2024,10,0,0,0,29,331,0,0
Isaiah Davis,RB,NYJ,2024,9,0,30,174,9,75,0,0
Kimani Vidal,RB,LAC,2024,9,0,43,155,5,62,0,0
Mason Tipton,WR,NO,2024,9,0,0,0,14,99,0,0
Erick All,TE,CIN,2024,8,0,0,0,20,158,0,0
Johnny Wilson,WR,PHI,2024,9,0,0,0,5,38,0,0
Jordan Whittington,WR,LA,2024,6,0,2,12,22,293,0,0
Michael Penix Jr.,QB,ATL,2024,5,775,7,11,0,0,0,0
Ryan Flournoy,WR,DAL,2024,7,0,0,0,10,102,0,0
Brevyn Spann-Ford,TE,DAL,2024,6,0,0,0,9,88,0,0
Jamari Thrash,WR,CLE,2024,6,0,0,0,3,22,0,0
Will Shipley,RB,PHI,2024,5,0,30,82,4,35,0,0
Bryce Oliver,WR,TEN,2024,5,0,0,0,6,95,0,0
Malachi Corley,WR,NYJ,2024,5,0,2,26,3,16,0,0
Tip Reiman,TE,ARI,2024,5,0,0,0,6,37,0,0
Bub Means,WR,NO,2024,4,0,0,0,9,118,0,0
Jermaine Burton,WR,CIN,2024,4,0,0,0,4,107,0,0
Sione Vaki,RB,DET,2024,4,0,6,14,3,37,0,0
Rasheen Ali,RB,BAL,2024,4,0,10,31,0,0,0,0
Cam Grandy,TE,CIN,2024,4,0,0,0,5,28,0,0
Ben Sinnott,TE,WAS,2024,4,0,0,0,5,28,0,0
Javon Baker,WR,NE,2024,4,0,0,0,1,12,0,0
Jacob Cowing,WR,SF,2024,3,0,1,7,4,80,0,0
Ainias Smith,WR,PHI,2024,3,0,2,6,7,41,0,0
Jonathon Brooks,RB,CAR,2024,3,0,9,22,3,23,0,0
Jaheim Bell,TE,NE,2024,3,0,0,0,2,20,0,0
Kameron Johnson,WR,TB,2024,3,0,2,11,0,0,0,0
Devin Culp,TE,TB,2024,2,0,0,0,5,88,0,0
Joe Milton III,QB,NE,2024,1,241,10,16,0,0,0,0
Terrell Jennings,RB,NE,2024,2,0,13,33,0,0,0,0
Jase McClellan,RB,ATL,2024,2,0,13,32,0,0,0,0
Devontez Walker,WR,BAL,2024,2,0,0,0,1,21,0,0
Dallin Holker,TE,NO,2024,2,0,0,0,3,21,0,0
Casey Washington,WR,ATL,2024,2,0,0,0,1,14,0,0
George Holani,RB,SEA,2024,2,0,3,10,1,-1,0,0
Chris Collier,RB,LV,2024,2,0,5,12,1,-4,0,0
Ramel Keyton,WR,LV,2024,2,0,0,0,1,7,0,0
David Martin-Robinson,TE,TEN,2024,2,0,0,0,1,6,0,0
Jha'Quan Jackson,WR,TEN,2024,2,0,1,-5,1,8,0,0
Xavier Weaver,WR,ARI,2024,2,0,0,0,0,0,0,0
Jacob Kibodi,RB,CLE,2024,1,0,5,24,1,15,0,0
Blake Watson,RB,DEN,2024,1,0,4,10,1,13,0,0
Anthony Gould,WR,IND,2024,1,0,0,0,1,23,0,0
MarShawn Lloyd,RB,GB,2024,1,0,6,15,1,3,0,0
Matthew Hayball,P,NO,2024,1,0,1,11,0,0,0,0
Cody Schrader,RB,LA,2024,1,0,1,3,1,6,0,0
Jared Wiley,TE,KC,2024,1,0,0,0,1,7,0,0
Isaiah Williams,WR,CIN,2024,1,0,0,0,2,6,0,0
Dell Pettus,DB,NE,2024,1,0,1,2,0,0,0,0
British Brooks,RB,HOU,2024,1,0,1,2,0,0,0,0
Jaden Hicks,DB,KC,2024,1,0,1,1,0,0,0,0
Baylor Cupp,TE,KC,2024,1,0,0,0,0,0,0,0
JC Latham,OL,TEN,2024,1,0,0,0,1,0,0,0
Brenden Bates,TE,CLE,2024,1,0,0,0,0,0,0,0
Dylan Laube,RB,LV,2024,1,0,1,0,0,0,0,0
Jermaine Jackson,WR,NO,2024,1,0,1,-1,0,0,0,0
